last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Snell, Blake,L,91.3,,,84.8,,28.8,50.6
Bieber, Shane,R,91.3,,,92.1,,15.3,58.4
Giolito, Lucas,R,91.3,,,83.5,,28.5,80.1
Means, John,L,91.1,,,92.1,,32.2,35.2
Brennan, Brandon,R,91.1,93.4,,89.8,,15.4,
Brooks, Aaron,R,91.1,96.3,,79.5,,12.7,33.3
Anderson, Cody,R,91.1,,,91.6,,,55.7
Hill, Rich,L,91,,,,,93.9,100
Farrell, Luke,R,91,,,,,10.9,51.9
Pannone, Thomas,L,91,,,88.7,,,68.2
Miller, Shelby,R,90.9,94.7,36.5,82.8,,,66
Kittredge, Andrew,R,90.7,97.2,,58.3,,32.6,
Peacock, Brad,R,90.7,96,,92.6,,63.3,77
Hammer, JD,R,90.6,,,,,22.5,
Peralta, Wily,R,90.6,,,85.3,,21.8,
Springs, Jeffrey,L,90.5,,,78.3,,27.4,
Fiers, Mike,R,90.5,92.4,,82,,42.5,92.7
Conley, Adam,L,90.4,,,89.7,,18.2,33.9
Buttrey, Ty,R,90.4,,,91.4,,25.7,
Gant, John,R,90.3,92.6,38.5,76.1,,,84.9
Wacha, Michael,R,90.2,95,50.6,81,,,73.7
Gagnon, Drew,R,90.2,,,87.1,,,64.5
McKay, Brendan,L,90.2,,46.4,95,,,65.1
Stanek, Ryne,R,90.2,,,,,18.2,
Norwood, James,R,90.2,,,,,15.9,
Paxton, James,L,90.1,,20.4,68.8,,,46.7
Ferguson, Caleb,L,90.1,,,,,,89.1
Gausman, Kevin,R,90,,,85.6,,19.3,
Plesac, Zach,R,89.9,,,78.6,,15.8,67.6
Kline, Branden,R,89.8,,,77.8,,21.3,
Mengden, Daniel,R,89.8,90,28.2,86.8,,30.8,94.9
Bowman, Matt,R,89.8,,70.4,,,35.5,71.9
Hoffman, Jeff,R,89.8,,,72.4,,,87.9
Bashlor, Tyler,R,89.7,,,87.3,,43.7,
Buchter, Ryan,L,89.6,,57.5,,,,78.4
Davis, Austin,L,89.3,,,88.4,,22.1,37.3
Gsellman, Robert,R,89.2,96,,95.5,,23.2,75.7
Eickhoff, Jerad,R,89.2,90.5,,,,23.5,62.6
Wheeler, Zack,R,89.1,92.7,,83.6,,29.2,67
Jackson, Luke,R,89.1,,,,,42.2,77.2
Díaz, Edwin,R,89.1,,,,,22.9,
Garrett, Reed,R,89,,31.4,,,29.7,
Milone, Tommy,L,89,,,84.6,,24.5,28.8
DeSclafani, Anthony,R,89,93.3,,87.6,,35.9,43
Bauer, Trevor,R,89,94.1,31.6,93.5,,82.6,97.2
Canning, Griffin,R,88.9,,,92.6,,27.3,52.2
Gonzales, Marco,L,88.9,,41.1,86,,,70.6
Kolarek, Adam,L,88.9,95.1,,96.9,,56.2,
Wingenter, Trey,R,88.8,,,,,17.4,
Guerra, Javy,R,88.8,,,79.8,,28.3,59.8
Yacabonis, Jimmy,R,88.8,92.1,,91.2,,37.8,
Nola, Aaron,R,88.8,90.7,,86.9,,,85.3
Lorenzen, Michael,R,88.8,90.4,43.3,85.8,,28.8,54.7
Melville, Tim,R,88.7,,,93.9,,14.7,46.2
Altavilla, Dan,R,88.6,,,,,31.7,
Dunn, Justin,R,88.6,,,,,53.5,
Archer, Chris,R,88.6,90.9,,78.3,,25.6,42.6
Thornburg, Tyler,R,88.5,,,86.2,,,80
Hendriks, Liam,R,88.5,,,,,22.3,57.8
Jackson, Jay,R,88.5,,,,,24.8,
Báez, Pedro,R,88.4,,,86.7,,24,
Anderson, Chase,R,88.4,92.6,55,92.2,,,79.5
Stashak, Cody,R,88.4,,,81.3,,53.4,
Mayers, Mike,R,88.4,,,,,21.9,76.2
Dayton, Grant,L,88.4,,,,,80.7,63.4
Rosscup, Zac,L,88.3,89.3,,,,33.3,
Ramírez, Neil,R,88.3,,,,,30.9,58.1
Lauer, Eric,L,88.2,,39.6,86.6,,26.4,46.1
Guerrero, Tayron,R,88.2,90.1,,,,23.2,
Duffy, Danny,L,88.1,91,,84.8,,23.3,89.1
Cisnero, José,R,88.1,89.8,,91.6,,26.8,
Ramirez, Nick,L,88.1,89.1,38,81.9,,,50.9
Montas, Frankie,R,88,94.5,,,,28.2,
Poyner, Bobby,L,88,,,97,,18.3,
Guerra, Junior,R,87.8,92.3,,,,,53.3
Markel, Parker,R,87.8,87.7,,,,49.4,
Bradley, Archie,R,87.8,95.4,,82.1,,,55.4
Coonrod, Sam,R,87.8,91,,82.5,,40.8,
Eades, Ryan,R,87.8,,,70.9,,28.7,
Mahle, Tyler,R,87.8,,45.4,,,,50.8
Pérez, Oliver,L,87.7,94,,,,42.8,
Harvey, Matt,R,87.7,,,92.8,,23.4,38.4
Hernandez, David,R,87.7,88.1,25.1,,,,35.4
Harvey, Hunter,R,87.6,,,63.2,,,60.6
Nicasio, Juan,R,87.5,91.6,,,,25.9,
Ríos, Yacksel,R,87.5,91.9,,85,,9.9,43
Gonsolin, Tony,R,87.5,,,,,28.6,73.5
Hill, Tim,L,87.4,83,,,,28.2,
Giles, Ken,R,87.4,,,,,11.9,
Alaniz, R.J.,R,87.3,89.1,,86.9,,31.9,
Garrett, Amir,L,87.3,88.3,,,,15.6,
Osuna, Roberto,R,87.3,93.1,52.8,87.8,,34.4,
