"","pitch_type","year","name","percentile"
"156","SL","2022","Alcantara, Sandy",71.5686274509804
"157","CH","2022","Alexander, Jason",15.0627615062762
"158","SI","2022","Alexander, Jason",8.24742268041237
"159","SL","2022","Alexander, Jason",15.4411764705882
"160","FF","2017","Alexander, Scott",66.597510373444
"161","SI","2016","Alexander, Scott",62.5874125874126
"162","SI","2017","Alexander, Scott",99.0654205607477
"163","SI","2018","Alexander, Scott",31.6901408450704
"164","SI","2019","Alexander, Scott",15.8450704225352
"165","SI","2021","Alexander, Scott",61.6279069767442
"166","SI","2022","Alexander, Scott",92.7835051546392
"167","SL","2018","Alexander, Scott",67.0731707317073
"168","CH","2019","Alexander, Tyler",29.4372294372294
"169","CH","2021","Alexander, Tyler",54.8387096774194
"170","CH","2022","Alexander, Tyler",5.43933054393306
"171","CU","2019","Alexander, Tyler",4.78260869565217
"172","FC","2021","Alexander, Tyler",74.6153846153846
"173","FC","2022","Alexander, Tyler",54.014598540146
"174","FF","2019","Alexander, Tyler",72.5146198830409
"175","FF","2021","Alexander, Tyler",55.4474708171206
"176","FF","2022","Alexander, Tyler",38.8535031847134
"177","SI","2019","Alexander, Tyler",60.9154929577465
"178","SI","2021","Alexander, Tyler",39.1472868217054
"179","SI","2022","Alexander, Tyler",10.3092783505155
"180","SL","2019","Alexander, Tyler",69.6883852691218
"181","SL","2021","Alexander, Tyler",79.8488664987406
"182","SL","2022","Alexander, Tyler",52.4509803921569
"183","FF","2021","Alexy, A.J.",69.6498054474708
"184","CH","2019","Allard, Kolby",51.0822510822511
"185","CH","2021","Allard, Kolby",22.1774193548387
"186","CU","2021","Allard, Kolby",8.88888888888889
"187","FC","2019","Allard, Kolby",17.4603174603175
"188","FC","2021","Allard, Kolby",10.7692307692308
"189","FF","2018","Allard, Kolby",9.8159509202454
"190","FF","2019","Allard, Kolby",60.6237816764133
"191","FF","2021","Allard, Kolby",40.8560311284047
"192","FF","2022","Allard, Kolby",34.1825902335456
"193","FF","2015","Allen, Cody",49.3775933609959
"194","FF","2016","Allen, Cody",90.3292181069959
"195","FF","2017","Allen, Cody",72.8215767634855
"196","FF","2018","Allen, Cody",85.2760736196319
"197","FF","2019","Allen, Cody",12.8654970760234
"198","CU","2015","Allen, Cody",91.9047619047619
"199","CU","2016","Allen, Cody",76.1904761904762
"200","CU","2017","Allen, Cody",86.4406779661017
"201","CU","2018","Allen, Cody",4.23728813559322
"202","CU","2019","Allen, Cody",66.5217391304348
"203","CH","2021","Allen, Logan",32.258064516129
"204","FF","2019","Allen, Logan",36.8421052631579
"205","FF","2021","Allen, Logan",5.25291828793774
"206","SL","2019","Allen, Logan",10.4815864022663
"207","SL","2021","Allen, Logan",52.3929471032746
"208","FF","2018","Almonte, Yency",15.5419222903885
"209","FF","2019","Almonte, Yency",1.16959064327485
"210","FF","2021","Almonte, Yency",44.7470817120623
"211","SI","2022","Almonte, Yency",51.5463917525773
"212","SL","2019","Almonte, Yency",93.7677053824363
"213","SL","2021","Almonte, Yency",2.01511335012594
"214","SL","2022","Almonte, Yency",81.1274509803922
"215","FF","2016","Altavilla, Dan",68.7242798353909
"216","FF","2017","Altavilla, Dan",9.54356846473029
"217","FF","2018","Altavilla, Dan",78.118609406953
"218","FF","2019","Altavilla, Dan",58.2846003898635
"219","SL","2017","Altavilla, Dan",88.1619937694704
"220","SL","2018","Altavilla, Dan",32.3170731707317
"221","SL","2019","Altavilla, Dan",25.2124645892351
"222","CU","2018","Alvarado, José",88.135593220339
"223","FC","2018","Alvarado, José",82.3008849557522
"224","FC","2021","Alvarado, José",81.5384615384615
"225","FC","2022","Alvarado, José",95.6204379562044
"226","FF","2017","Alvarado, José",56.0165975103734
"227","SI","2017","Alvarado, José",71.6510903426791
"228","SI","2018","Alvarado, José",93.3098591549296
"229","SI","2019","Alvarado, José",38.3802816901408
"230","SI","2021","Alvarado, José",30.6201550387597
"231","SI","2022","Alvarado, José",12.3711340206186
"232","FF","2017","Alvarez III, Henderson",60.7883817427386
"233","SI","2022","Álvarez, José",28.8659793814433
"234","FF","2015","Alvarez, R.J.",14.5228215767635
"235","CH","2021","Alzolay, Adbert",82.258064516129
"236","FC","2021","Alzolay, Adbert",38.4615384615385
"237","FF","2019","Alzolay, Adbert",22.4171539961014
"238","FF","2021","Alzolay, Adbert",29.9610894941634
"239","SI","2021","Alzolay, Adbert",21.7054263565891
"240","SL","2021","Alzolay, Adbert",91.9395465994962
"241","CH","2015","Anderson, Brett",45.6140350877193
"242","CH","2017","Anderson, Brett",14.2857142857143
"243","CH","2018","Anderson, Brett",56.62100456621
"244","CH","2019","Anderson, Brett",83.1168831168831
"245","CH","2021","Anderson, Brett",90.7258064516129
"246","FC","2021","Anderson, Brett",33.8461538461538
"247","FF","2015","Anderson, Brett",20.5394190871369
"248","FF","2017","Anderson, Brett",26.3485477178423
"249","FF","2018","Anderson, Brett",29.4478527607362
"250","FF","2019","Anderson, Brett",64.327485380117
"251","CU","2015","Anderson, Brett",19.047619047619
"252","CU","2019","Anderson, Brett",46.5217391304348
"253","CU","2021","Anderson, Brett",68
"254","SI","2015","Anderson, Brett",85.7627118644068
"255","SI","2017","Anderson, Brett",29.2834890965732
"256","SI","2018","Anderson, Brett",90.4929577464789
"257","SI","2019","Anderson, Brett",51.056338028169
"258","SI","2021","Anderson, Brett",43.0232558139535
"259","SL","2015","Anderson, Brett",82.5082508250825
"260","SL","2017","Anderson, Brett",42.0560747663551
"261","SL","2018","Anderson, Brett",15.8536585365854
"262","SL","2019","Anderson, Brett",54.6742209631728
"263","SL","2021","Anderson, Brett",6.80100755667506
"264","CH","2015","Anderson, Chase",95.6140350877193
"265","CH","2016","Anderson, Chase",3.61990950226244
"266","CH","2017","Anderson, Chase",88.7445887445888
"267","CH","2018","Anderson, Chase",90.4109589041096
"268","CH","2019","Anderson, Chase",91.7748917748918
"269","CH","2021","Anderson, Chase",76.6129032258064
"270","CH","2022","Anderson, Chase",58.1589958158996
"271","CU","2015","Anderson, Chase",35.7142857142857
"272","CU","2016","Anderson, Chase",47.6190476190476
"273","CU","2017","Anderson, Chase",91.9491525423729
"274","CU","2018","Anderson, Chase",59.3220338983051
"275","CU","2019","Anderson, Chase",4.34782608695652
"276","FC","2016","Anderson, Chase",40.6593406593407
"277","FC","2017","Anderson, Chase",34.5132743362832
"278","FC","2018","Anderson, Chase",27.4336283185841
"279","FC","2019","Anderson, Chase",90.4761904761905
"280","FC","2021","Anderson, Chase",29.2307692307692
"281","FF","2015","Anderson, Chase",8.71369294605809
"282","FF","2016","Anderson, Chase",8.64197530864197
"283","FF","2017","Anderson, Chase",72.4066390041494
"284","FF","2018","Anderson, Chase",88.1390593047035
"285","FF","2019","Anderson, Chase",12.280701754386
"286","FF","2021","Anderson, Chase",11.4785992217899
"287","FF","2022","Anderson, Chase",45.0106157112527
"288","SI","2015","Anderson, Chase",16.271186440678
"289","SI","2016","Anderson, Chase",67.1328671328671
"290","SI","2017","Anderson, Chase",75.3894080996885
"291","SI","2018","Anderson, Chase",9.50704225352113
"292","SI","2019","Anderson, Chase",82.7464788732394
"293","CH","2015","Anderson, Cody",45.1754385964912
"294","CH","2016","Anderson, Cody",71.9457013574661
"295","CU","2015","Anderson, Cody",71.4285714285714
"296","CU","2016","Anderson, Cody",31.1688311688312
"297","FC","2015","Anderson, Cody",60
"298","FF","2015","Anderson, Cody",85.4771784232365
"299","FF","2016","Anderson, Cody",7.61316872427984
"300","FF","2021","Anderson, Drew",63.6186770428016
"301","CH","2021","Anderson, Ian",86.6935483870968
"302","CH","2022","Anderson, Ian",75.3138075313807
"303","CU","2021","Anderson, Ian",24.4444444444444
"304","CU","2022","Anderson, Ian",19.3548387096774
"305","FF","2021","Anderson, Ian",96.4980544747082
"306","FF","2022","Anderson, Ian",25.4777070063694
"307","FF","2018","Anderson, Justin",33.1288343558282
"308","FF","2019","Anderson, Justin",31.1890838206628
"309","SI","2018","Anderson, Justin",66.5492957746479
"310","SL","2018","Anderson, Justin",96.3414634146341
"311","SL","2019","Anderson, Justin",8.4985835694051
"312","CU","2019","Anderson, Nick",93.0434782608696
"313","FF","2019","Anderson, Nick",70.7602339181287
"314","CH","2019","Anderson, Shaun",48.0519480519481
"315","FF","2019","Anderson, Shaun",24.1715399610136
"316","FF","2021","Anderson, Shaun",5.83657587548638
"317","SI","2019","Anderson, Shaun",51.4084507042254
"318","SL","2019","Anderson, Shaun",22.6628895184136
"319","SL","2021","Anderson, Shaun",4.53400503778338
"320","SI","2019","Anderson, Tanner",63.7323943661972
"321","CH","2016","Anderson, Tyler",17.1945701357466
"322","CH","2017","Anderson, Tyler",43.2900432900433
"323","CH","2018","Anderson, Tyler",77.1689497716895
"324","CH","2019","Anderson, Tyler",10.8225108225108
"325","CH","2021","Anderson, Tyler",25.4032258064516
"326","CH","2022","Anderson, Tyler",99.163179916318
"327","CU","2018","Anderson, Tyler",46.6101694915254
"328","FC","2016","Anderson, Tyler",62.6373626373626
"329","FC","2017","Anderson, Tyler",15.929203539823
"330","FC","2018","Anderson, Tyler",78.7610619469027
"331","FC","2021","Anderson, Tyler",70
"332","FC","2022","Anderson, Tyler",82.4817518248175
"333","FF","2016","Anderson, Tyler",89.5061728395062
"334","FF","2017","Anderson, Tyler",42.1161825726141
"335","FF","2018","Anderson, Tyler",0.408997955010225
"336","FF","2019","Anderson, Tyler",10.7212475633528
"337","FF","2021","Anderson, Tyler",60.7003891050584
"338","FF","2022","Anderson, Tyler",85.5626326963907
