year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Stripling, Ross,548389,R,SL,310,87.1,2342,7.2,0.32116413398863786,0.41010228386213665,197.73567019235668,220.63480750986082,Slider,41,690,645,-22.89913731750414,22.899137317504167,45,11,30,10,45,0,45,11:30,10:45,+0H 45M
,Rodriguez, Eduardo,593958,L,SL,215,82.1,2145,6.9,0.3130540813512554,0.33921070592763103,60.76878261186819,29.070970981426456,Slider,34,240,300,31.697811630441734,31.69781163044174,-60,4,0,5,0,1,0,4:00,5:00,-1H 00M
,Rodriguez, Chris,669735,R,SL,28,89.9,2397,6.3,0.2860240827177761,0.3257722317862027,180.11513462862894,214.2410870053503,Slider,33,720,645,-34.12595237672136,34.12595237672139,75,12,0,10,45,1,15,12:00,10:45,+1H 15M
,Robles, Hansel,570663,R,SL,171,90.2,2331,4.6,0.2127424827679677,0.4147910903773368,175.484286282791,183.40754287221722,Slider,41,735,720,-7.923256589426217,7.923256589426234,15,12,15,12,0,0,15,12:15,12:00,+0H 15M
,Marte, Jose,665896,R,SL,28,85.9,2645,10,0.4318199609565955,0.41083188669324416,263.2427088480692,288.10742204787,Slider,41,555,510,-24.864713199800804,24.864713199800782,45,9,15,8,30,0,45,9:15,8:30,+0H 45M
,Crouse, Hans,668968,R,SL,49,85.2,2226,5.8,0.26381676978626817,0.3193288915066504,134.09455605097935,174.51982800257872,Slider,32,90,735,-40.42527195159937,40.4252719515994,75,1,30,12,15,1,15,1:30,12:15,+1H 15M
,Hand, Brad,543272,L,SL,448,80.1,2279,18.3,0.801062436641667,0.6272053470434203,52.1940707309963,74.42257766063209,Slider,63,255,210,-22.228506929635785,22.228506929635785,45,4,15,3,30,0,45,4:15,3:30,+0H 45M
,Rowen, Ben,594985,R,SL,102,71.4,2616,20.2,0.7968852161269757,0.8123063827909565,244.70253533638834,233.7146231308004,Slider,81,585,615,10.987912205587946,10.98791220558797,-30,9,45,10,15,0,30,9:45,10:15,-0H 30M
,Mikolas, Miles,571945,R,SL,180,87.4,2395,5.2,0.23869123425056593,0.2677922822837574,214.46997588887393,245.41924509218578,Slider,27,645,585,-30.949269203311843,30.94926920331186,60,10,45,9,45,1,0,10:45,9:45,+1H 00M
,Jackson, Luke,592426,R,SL,561,87.5,2319,7.8,0.36101673906275733,0.41874853535825174,320.46067915499657,350.1284308575848,Slider,42,435,375,-29.667751702588248,29.66775170258827,60,7,15,6,15,1,0,7:15,6:15,+1H 00M
,Hanhold, Eric,621098,R,SL,47,84.9,2551,10.2,0.43508285293407073,0.5721805593359433,294.6336142439455,297.43800996994787,Slider,57,495,480,-2.804395726002383,2.804395726002397,15,8,15,8,0,0,15,8:15,8:00,+0H 15M
,Cessa, Luis,570666,R,SL,538,82.7,2474,6.4,0.27611146415167764,0.28740031321845705,323.699528172703,324.1859418495428,Slider,29,435,435,-0.4864136768397884,0.486413676839859,0,7,15,7,15,0,0,7:15,7:15, 0H 00M
,Miller, Shelby,571946,R,SL,39,80.2,2315,19.4,0.8392076366907094,0.6218074904174922,311.2691532995687,287.16270286564895,Slider,62,450,510,24.106450433919747,24.1064504339197,-60,7,30,8,30,1,0,7:30,8:30,-1H 00M
,Flaherty, Jack,656427,R,SL,380,83.7,2400,8.8,0.3857893984514454,0.5064318300312808,258.44243535862154,251.9884391915164,Slider,51,570,570,6.453996167105146,6.453996167105154,0,9,30,9,30,0,0,9:30,9:30, 0H 00M
,Lawrence, Justin,664875,R,SL,110,81.9,2784,15.2,0.6704278058116122,0.6523378397537349,289.37820103314687,284.86760148506266,Slider,65,495,510,4.510599548084201,4.510599548084202,-15,8,15,8,30,0,15,8:15,8:30,-0H 15M
,Snell, Blake,605483,L,SL,555,86.5,2416,5.3,0.23675064889298095,0.2670191787854774,123.28853599344762,86.14024792825322,Slider,27,120,195,37.14828806519441,37.14828806519441,-75,2,0,3,15,1,15,2:00,3:15,-1H 15M
,Gonsalves, Stephen,624427,L,SL,15,83.3,2291,4.8,0.21344288540978062,0.18014547544828302,101.77835566846264,68.43409626042836,Slider,18,150,225,33.344259408034276,33.344259408034276,-75,2,30,3,45,1,15,2:30,3:45,-1H 15M
,Keuchel, Dallas,572971,L,SL,192,77.8,2374,7.9,0.3403344319613403,0.2677900684385997,60.67103438187905,83.40889953967314,Slider,27,240,195,-22.73786515779409,22.737865157794086,45,4,0,3,15,0,45,4:00,3:15,+0H 45M
,Mayza, Tim,641835,L,SL,238,88,2174,3.2,0.14800121890254203,0.1832815291668037,208.0656428951622,170.38466307928857,Slider,18,660,735,37.68097981587363,37.68097981587363,-75,11,0,12,15,1,15,11:00,12:15,-1H 15M
,Kazmir, Scott,431148,L,SL,27,87.1,2034,7.3,0.34564336001864016,0.6077559521366669,207.18557834934288,188.54569363690976,Slider,61,660,705,18.639884712433116,18.63988471243312,-45,11,0,11,45,0,45,11:00,11:45,-0H 45M
,Smith, Riley,642092,R,SL,47,82.2,2045,4.6,0.21040854096497963,0.2647274915908577,239.50617581065904,284.3206733067035,Slider,26,600,510,-44.81449749604445,44.81449749604446,90,10,0,8,30,1,30,10:00,8:30,+1H 30M
,Martin, Brett,656685,L,SL,224,87.6,2227,6,0.27908060731378176,0.4000168013554447,173.93489376409548,153.57778901597314,Slider,40,735,60,20.35710474812234,20.35710474812234,-45,12,15,1,0,0,45,12:15,1:00,-0H 45M
,Sewald, Paul,623149,R,SL,450,81.7,2183,14.7,0.6579950416887286,0.4488536836038087,278.91597425301495,252.55465582997346,Slider,45,525,570,26.361318423041496,26.36131842304152,-45,8,45,9,30,0,45,8:45,9:30,-0H 45M
,Martin, Corbin,656686,R,SL,33,87.7,2336,7.1,0.32700020340220337,0.3632039636624329,207.3508914040687,234.93407081649715,Slider,36,660,615,-27.58317941242845,27.583179412428418,45,11,0,10,15,0,45,11:00,10:15,+0H 45M
,McCaughan, Darren,670766,R,SL,46,78.7,2244,6.8,0.31741979385167834,0.3964046031256045,244.35049809770413,289.00672370470323,Slider,40,585,495,-44.6562256069991,44.656225606999065,90,9,45,8,15,1,30,9:45,8:15,+1H 30M
,Bolaños, Ronald,671790,R,SL,30,86.3,2574,6.7,0.2921729562677781,0.41573110962782545,258.083723177699,243.60387796384114,Slider,42,570,600,14.479845213857885,14.479845213857889,-30,9,30,10,0,0,30,9:30,10:00,-0H 30M
,Foster, Matt,641582,R,SL,77,85.2,2274,5.8,0.2673962395780396,0.3683258930368418,204.96135427481653,236.88764758240603,Slider,37,675,600,-31.926293307589503,31.92629330758948,75,11,15,10,0,1,15,11:15,10:00,+1H 15M
,Ohtani, Shohei,660271,R,SL,442,82.2,2352,16.9,0.7425944993494589,0.5697074793586514,289.9589142059304,264.4981829376615,Slider,57,495,555,25.460731268268887,25.46073126826891,-60,8,15,9,15,1,0,8:15,9:15,-1H 00M
,Hicks, Jordan,663855,R,SL,19,84.2,2361,9.5,0.414576737363874,0.40056273521219143,312.8664379692676,275.66846641852527,Slider,40,450,525,37.19797155074235,37.19797155074237,-75,7,30,8,45,1,15,7:30,8:45,-1H 15M
,Manning, Matt,666159,R,SL,214,85.4,2146,6.8,0.3219364158001087,0.4203924713216303,224.3382247222132,261.7859003012215,Slider,42,630,555,-37.44767557900829,37.44767557900823,75,10,30,9,15,1,15,10:30,9:15,+1H 15M
,Swarzak, Anthony,461872,R,SL,111,85.9,2397,5.4,0.243045895811807,0.27638787990677977,216.6442305002582,258.6383194832278,Slider,28,645,570,-41.9940889829696,41.9940889829696,75,10,45,9,30,1,15,10:45,9:30,+1H 15M
,Springs, Jeffrey,605488,L,SL,224,82.9,2308,6.5,0.28324857831091044,0.31198090182717897,76.64365685445493,41.101047979080334,Slider,31,210,285,35.5426088753746,35.54260887537458,-75,3,30,4,45,1,15,3:30,4:45,-1H 15M
,Freeland, Kyle,607536,L,SL,427,86,2324,4.8,0.23678706185694234,0.29655658370721355,181.38908503484555,141.9352865628855,Slider,30,720,75,39.453798471960056,39.453798471960056,-75,12,0,1,15,1,15,12:00,1:15,-1H 15M
,Scott, Tanner,656945,L,SL,528,88.5,2666,7.1,0.3045586002250402,0.3331314776617061,94.51070333783578,64.34970154719889,Slider,33,165,225,30.161001790636888,30.161001790636885,-60,2,45,3,45,1,0,2:45,3:45,-1H 00M
,Romo, Sergio,489265,R,SL,574,77,2816,16.5,0.6536267850058286,0.4859603301594098,269.05552740926146,244.7185268842669,Slider,49,540,585,24.33700052499455,24.33700052499458,-45,9,0,9,45,0,45,9:00,9:45,-0H 45M
,Jax, Griffin,643377,R,SL,432,83.3,2807,12.8,0.5374244168539338,0.4144050140732692,314.2305190369306,285.4952634156378,Slider,41,450,510,28.735255621292822,28.735255621292843,-60,7,30,8,30,1,0,7:30,8:30,-1H 00M
,Eflin, Zach,621107,R,SL,386,87.6,2130,8.7,0.40834185786876753,0.47468063750698,166.41104362722987,197.5866051325858,Slider,47,750,690,-31.175561505355915,31.175561505355915,60,12,30,11,30,1,0,12:30,11:30,+1H 00M
,Speier, Gabe,642100,L,SL,38,83.2,2004,5.1,0.2508804680769202,0.30494125351399676,90.49783651476615,51.73398223108288,Slider,30,180,255,38.76385428368327,38.76385428368329,-75,3,0,4,15,1,15,3:00,4:15,-1H 15M
,Bauer, Trevor,545333,R,SL,287,80.8,2971,18.8,0.7532332520116996,0.6015042386039919,307.4018142594137,284.1918958291086,Slider,60,465,510,23.209918430305095,23.209918430305144,-45,7,45,8,30,0,45,7:45,8:30,-0H 45M
