"","player","pitch_type","year","rank","perc","sim_player"
"146",520980,"FF","2015","first","96.7742404844545",543037
"147",520980,"FF","2016","first","96.485977178505",622250
"148",520980,"FF","2017","first","97.0810172240461",622250
"149",520980,"FF","2018","first","98.25813362825",664199
"150",520980,"FF","2019","first","96.8502428596892",664199
"151",622783,"FF","2018","first","96.9091379023986",660853
"152",544365,"FF","2015","first","96.2476394403013",656457
"153",544365,"FF","2019","first","95.7194327738594",593958
"154",544365,"FF","2022","first","96.4594221441493",459429
"155",673258,"FF","2019","first","95.8655879797639",606149
"156",457732,"FF","2016","first","93.646971285848",608717
"157",456701,"FF","2016","first","97.1199796019777",675921
"158",456701,"FF","2017","first","97.0862517492742",675921
"159",456701,"FF","2018","first","94.39366348481",622608
"160",456701,"FF","2019","first","94.9763034729488",623485
"161",641329,"FF","2022","first","97.0626318756941",622251
"162",593604,"FF","2021","first","96.1860010909093",605177
"163",444446,"FF","2015","first","96.5212534232026",666721
"164",607455,"FF","2017","first","97.7016666456153",669211
"165",607455,"FF","2018","first","96.713060434636",459429
"166",607455,"FF","2021","first","97.9611428588166",459429
"167",607455,"FF","2022","first","97.0482299735671",459429
"168",621383,"FF","2022","first","93.6943804849938",656794
"169",670056,"FF","2021","first","95.7884136354164",605488
"170",592127,"FF","2016","first","95.3351432604645",676534
"171",453268,"FF","2021","first","92.0416052894404",450203
"172",572703,"FF","2018","first","93.6421554922467",592094
"173",572703,"FF","2019","first","95.1682486428545",593576
"174",669618,"FF","2021","first","96.8786993580027",641582
"175",669618,"FF","2022","first","95.8185898057135",664299
"176",605130,"FF","2018","first","93.8281001446475",543135
"177",605130,"FF","2019","first","96.656272442288",641154
"178",605130,"FF","2021","first","97.1378532672119",542888
"179",605130,"FF","2022","first","96.5721365921595",656427
"180",592130,"FF","2017","first","95.7593121219771",680686
"181",592130,"FF","2018","first","96.5739071815623",456501
"182",606930,"FF","2016","first","95.847661585015",666201
"183",606930,"FF","2017","first","96.5837176194399",666201
"184",606930,"FF","2018","first","95.5818601359627",621593
"185",606930,"FF","2019","first","95.7138759818809",605525
"186",606930,"FF","2021","first","97.3678488832735",643338
"187",606930,"FF","2022","first","97.563678963961",656876
"188",598264,"FF","2015","first","96.5360722891718",592332
"189",598264,"FF","2016","first","96.8834103534562",686613
"190",598264,"FF","2017","first","96.8329928709269",686613
"191",598264,"FF","2018","first","96.7707890523007",672578
"192",598264,"FF","2019","first","97.0795702891595",672578
"193",598264,"FF","2021","first","96.4258766917387",641401
"194",598264,"FF","2022","first","96.9883817785638",641401
"195",501817,"FF","2016","first","96.4311707967398",592826
"196",501817,"FF","2017","first","96.6643537428239",543243
