"","player","pitch_type","year","rank","perc","sim_player"
"209",545332,"FF","2017","first","96.927522706284",516969
"210",641341,"FF","2018","first","96.810458090871",456713
"211",641341,"FF","2019","first","97.0430579258684",656629
"212",542914,"FF","2015","first","97.3425208778189",606131
"213",605135,"FF","2015","first","98.1134010713612",605538
"214",605135,"FF","2016","first","97.4461638812569",669456
"215",605135,"FF","2018","first","97.7631735044784",621209
"216",605135,"FF","2019","first","96.6258281362067",667376
"217",605135,"FF","2021","first","97.0951180150582",584171
"218",605135,"FF","2022","first","96.4779611833937",605195
"219",455374,"FF","2015","first","96.281072338528",543867
"220",455374,"FF","2016","first","96.4097550334327",670056
"221",455374,"FF","2017","first","96.4612605427803",543278
"222",545333,"FF","2015","first","97.6704813222202",543935
"223",545333,"FF","2016","first","97.2348068144013",607625
"224",545333,"FF","2017","first","97.6061792289079",656288
"225",545333,"FF","2018","first","98.0001225221805",519322
"226",545333,"FF","2019","first","97.209165823588",571479
"227",545333,"FF","2021","first","95.6750770535597",592102
"228",571473,"FF","2016","first","95.5332432943162",542924
"229",571473,"FF","2017","first","92.0437087208271",542924
"230",657508,"FF","2021","first","97.40652675417",593140
"231",657508,"FF","2022","first","97.3188619432313",641793
"232",642585,"FF","2022","first","95.1024114462189",541652
"233",639373,"FF","2019","first","96.284907590702",621111
"234",669358,"FF","2021","first","97.3773570363379",594798
"235",669358,"FF","2022","first","97.7056984844886",676886
"236",676886,"FF","2021","first","97.8016997905049",663752
"237",676886,"FF","2022","first","98.4638833911174",519166
"238",571476,"FF","2016","first","97.4078930039078",592351
"239",571476,"FF","2017","first","97.2112394812079",592351
"240",571476,"FF","2018","first","98.1899075761849",605242
"241",670280,"FF","2021","first","97.7344873428963",641401
"242",670280,"FF","2022","first","97.8663418959513",605154
"243",592135,"FF","2015","first","96.8944919067009",592826
"244",592135,"FF","2016","first","96.8290965599749",606944
"245",592135,"FF","2017","first","97.4517108222502",669952
"246",592135,"FF","2018","first","98.0471157862001",656547
"247",592135,"FF","2019","first","98.2900256151911",606478
"248",592135,"FF","2021","first","97.4090917960335",592644
"249",595881,"FF","2019","first","98.376276852133",643617
"250",595881,"FF","2022","first","98.7119716942663",592351
"251",656222,"FF","2018","first","96.3607204302403",500779
"252",656222,"FF","2019","first","96.9286069643398",621408
"253",656222,"FF","2022","first","96.068453315104",669022
"254",346847,"FF","2015","first","95.5915578120848",572125
"255",279571,"FF","2015","first","95.5745651297176",433587
"256",279571,"FF","2016","first","96.6123060672229",544931
"257",279571,"FF","2017","first","96.1194942187088",544931
"258",279571,"FF","2018","first","95.8451429661251",621295
"259",542924,"FF","2017","first","95.3366932569872",571473
"260",571479,"FF","2015","first","97.1042412124091",593576
"261",571479,"FF","2022","first","97.7214199541288",547179
"262",678394,"FF","2022","first","96.7420969677549",666374
"263",605138,"FF","2021","first","97.6136949595731",542881
"264",276542,"FF","2015","first","98.169637421158",571951
"265",276542,"FF","2016","first","97.279760185211",571951
"266",276542,"FF","2017","first","96.7565676317673",572193
"267",664157,"FF","2019","first","95.8021363176976",461829
"268",664157,"FF","2021","first","96.0105975346607",643355
"269",548357,"FF","2015","first","96.4624665458678",425532
"270",548357,"FF","2016","first","97.0104693566051",502212
"271",621244,"FF","2016","first","97.4616289936185",675627
"272",621244,"FF","2017","first","96.9048259813507",543144
"273",621244,"FF","2018","first","97.2442710160671",571670
"274",621244,"FF","2019","first","97.3660358728527",641816
"275",621244,"FF","2021","first","97.7317486160461",571670
"276",621244,"FF","2022","first","97.3120054487662",661269
"277",476454,"FF","2015","first","96.9380388969387",663432
"278",476454,"FF","2016","first","96.6792574147626",664854
"279",476454,"FF","2017","first","97.0100695959506",656730
"280",476454,"FF","2018","first","97.1434033509574",471822
"281",429783,"FF","2015","first","96.2604546861844",519144
"282",676424,"FF","2021","first","96.820463878672",448855
"283",518452,"FF","2015","first","97.0911627172418",501381
"284",518452,"FF","2016","first","96.0597094187489",592229
"285",518452,"FF","2017","first","94.942745246648",534812
"286",518452,"FF","2018","first","93.9851767214982",429722
"287",518452,"FF","2019","first","96.219830195581",542914
